Callsign	WWLoc	UTC	Corresp	Sent	Recvd	nWWLoc	Mode	Band	QRB	Pnt	nWWLoc	Remark	
LY3JE	KO26TC	1800	YL2FZ	59	59	KO37QI	SSB	432	176	176			
LY3JE	KO26TC	1801	YL2KO	59	59	KO37RI	SSB	432	179	179			
LY3JE	KO26TC	1821	YL2AJ	59	59	KO16OX	SSB	432	178	178	KO16		
LY3JE	KO26TC	1832	LY2BDA	55	59	KO24MQ	SSB	432	162	162	KO24	ScoredNoLog	
LY3JE	KO26TC	1833	LY2VO	59	59	KO15PX	SSB	432	146	146			
YL2AJ	KO16OX	1703	YL3ES	54	54	KO27FF		432	81	81	KO27		
YL2AJ	KO16OX	1704	YL3EK	59	59	KO27FF		432	81	81			
YL2AJ	KO16OX	1705	OH4LA	599	599	KP20LG	CW	144	380	380	KP20	ScoredNoLog	
YL2AJ	KO16OX	1705	YL2QG	53	55	KO06QR		50	0	0		NoRst 54	
YL2AJ	KO16OX	1707	YL3OI	54	57	KO26MO		50	120	120	KO26		
YL2AJ	KO16OX	1708	YL3GEA	59	59	KO37QM	SSB	432	258	258	KO37		
YL2AJ	KO16OX	1710	YL2CI	58	58	KO06TR		50	101	101	KO06	ScoredNoLog	
YL2AJ	KO16OX	1713	YL3ANJ	56	58	KO36QU		432	254	254	KO36		
YL2AJ	KO16OX	1713	YL3GEA	59	59	KO37QM	SSB	144	258	258	KO37		
YL2AJ	KO16OX	1714	YL2KO	59	59	KO37RI	SSB	144	260	260			
YL2AJ	KO16OX	1715	YL3ND	57	58	KO17JM		50	66	66	KO17		
YL2AJ	KO16OX	1718	YL2II	54	56	KO26OO		50	129	129			
YL2AJ	KO16OX	1720	LY3JE	57	55	KO26TC	SSB	1296	178	178	KO26	ScoredNoLog	
YL2AJ	KO16OX	1720	YL3EK	57	56	KO27FF		144	81	81	KO27		
YL2AJ	KO16OX	1721	YL2GD	599	599	KO37ML	CW	432	238	238			
YL2AJ	KO16OX	1724	YL3ANT	59	59	KO36PM		144	255	255	KO36		
YL2AJ	KO16OX	1727	LY2CH	599	599	KO15OV	CW	432	121	121	KO15	ScoredNoLog	
YL2AJ	KO16OX	1729	SM0EZZ	53	54	JO89XG		144	400	400	JO89	ScoredNoLog	
YL2AJ	KO16OX	1731	SM5CUI	54	56	JO89WW		144	452	452		ScoredNoLog	
YL2AJ	KO16OX	1732	SM0LQB	54	54	JO89WF		144	401	401		ScoredNoLog	
YL2AJ	KO16OX	1734	SM0KAK	559	559	JO89XK	CW	432	412	412	JO89	ScoredNoLog	
